rank,name,artists,spotify_id,album,duration_ms,explicit,popularity,added_at
57,Azizam,Ed Sheeran,0GRc3eGTg8HBdWLRGYgqIc,Azizam,162029,False,94,2025-06-30T00:54:28Z
58,TN,Morgan Wallen,5wrvpATTwLAdxI9xNtezNM,I’m The Problem,185138,False,70,2025-06-30T00:54:28Z
59,Just Keep Watching (From F1® The Movie),"Tate McRae, F1 The Album",2yWlGEgEfPot0lv3OAjuG3,Just Keep Watching (From F1® The Movie),142550,False,94,2025-06-30T00:54:28Z
60,Backseat Driver,Kane Brown,68SYsp6XfIEnlDYMgMyxUv,Backseat Driver,228066,False,72,2025-06-30T00:54:28Z
61,Indigo (feat. Avery Anna),"Sam Barber, Avery Anna",1KZG1H1OCugGqIRmk1wF9m,Restless Mind,286634,False,88,2025-06-30T00:54:28Z
62,party 4 u,Charli xcx,2RdEC8Ff83WkX7kDVCHseE,how i'm feeling now,296653,False,93,2025-06-30T00:54:28Z
63,WHIM WHAMIEE,"PLUTO, YKNIECE",4eULTkHVLAhn5J5DOSNbdP,WHIM WHAMIEE,141538,True,79,2025-06-30T00:54:28Z
64,Amen,"Shaboozey, Jelly Roll",2iSfSJrho5XkU2NmAnZ9ZV,"Where I've Been, Isn't Where I'm Going: The Complete Edition",197403,False,77,2025-06-30T00:54:28Z
65,YOUR WAY'S BETTER,Forrest Frank,4qrbjoNP9NZwe79Rg9IlFU,YOUR WAY'S BETTER,198082,False,77,2025-06-30T00:54:28Z
66,Dark Til Daylight,Morgan Wallen,0DlaIUTa0Ng1hOM1wcFcZe,I’m The Problem,235566,False,67,2025-06-30T00:54:28Z
67,I'm A Little Crazy,Morgan Wallen,7igCS2ZsfV7bvxuhF4XgiQ,I'm A Little Crazy,199060,False,77,2025-06-30T00:54:28Z
68,peekaboo (feat. azchike),"Kendrick Lamar, AZ Chike",2Uts1QFB4u2YNIMiqcb4de,GNX,155917,True,84,2025-06-30T00:54:28Z
69,Lemon Drop,ATEEZ,2kpmBZqu52h6uCZXFTIXJK,GOLDEN HOUR : Part.3,179395,False,80,2025-06-30T00:54:28Z
70,Won't Stop,Gunna,4ugKUZExbqbkKXEmbTrTRW,Won't Stop,181533,True,81,2025-06-30T00:54:28Z
71,Touch Me Like a Gangster,Jessie Murph,6fYcQVXEuqmyS3HqSZ6rTd,Touch Me Like a Gangster,163930,True,83,2025-06-30T00:54:28Z
72,Marlboro Rojo,Fuerza Regida,3hpm0fTeSqlhJbnqAgaLZs,111XPANTIA,184173,True,92,2025-06-30T00:54:28Z
73,TU SANCHO,Fuerza Regida,6eLQXa6uk2EW8drsiKbABZ,111XPANTIA,177994,True,93,2025-06-30T00:54:28Z
74,RATHER LIE (with The Weeknd),"Playboi Carti, The Weeknd",68qeaZhtMZ6abrJCYt6nQn,MUSIC,209680,True,87,2025-06-30T00:54:28Z
75,House Again,Hudson Westbrook,16MeIVoFWTq2E0r6DwIek5,House Again,203822,False,83,2025-06-30T00:54:28Z
76,Folded,Kehlani,0bxPRWprUVpQK0UFcddkrA,Folded,238120,False,84,2025-06-30T00:54:28Z
77,Fix What You Didn't Break,Nate Smith,0GJ8peTqHq9pu5Yf2vHjjX,Fix What You Didn't Break,201555,False,71,2025-06-30T00:54:28Z
78,Half The Plot,Lil Tecca,3zAWhIscp6ehzXv3KHorwb,DOPAMINE,165937,True,81,2025-06-30T00:54:28Z
79,Eyes Are Closed,Morgan Wallen,6Yjm10YPDiYGD3R3Qwoe13,I’m The Problem,197188,False,60,2025-06-30T00:54:28Z
80,ME JALO,"Fuerza Regida, Grupo Frontera",3D24ErT1MMmUfXWotSj2A2,MALA MÍA,212002,True,91,2025-06-30T00:54:28Z
81,EoO,Bad Bunny,6J5kc12BW5HuP3d7C3vvx8,DeBÍ TiRAR MáS FOToS,204768,True,94,2025-06-30T00:54:28Z
82,Thought It Was Love,Ty Myers,4fVoX6BG2jFhPx6uHKevpF,The Select,246141,False,82,2025-06-30T00:54:28Z
83,Sapphire,Ed Sheeran,4Q0qVhFQa7j6jRKzo3HDmP,Sapphire,179082,False,93,2025-06-30T00:54:28Z
84,Where'd That Girl Go,Morgan Wallen,3LJifNHnO7Uv90kEiOgBEy,I’m The Problem,151228,False,62,2025-06-30T00:54:28Z
85,Nice To Meet You,Myles Smith,726SEjbF3ToEbYbn43gnxl,A Minute...,176000,False,83,2025-06-30T00:54:28Z
86,Kick Myself,Morgan Wallen,6G3NRiAuB7O7JURfTL5C1p,I’m The Problem,159297,False,58,2025-06-30T00:54:28Z
87,Kiss Her In Front Of You,Morgan Wallen,6QvJKuhsqnK6wgNdmtDHFI,I’m The Problem,178227,False,64,2025-06-30T00:54:28Z
88,twilight zone,Ariana Grande,1UrwJzlNC2oaTlxj1OZmcu,eternal sunshine deluxe: brighter days ahead,198320,False,81,2025-06-30T00:54:28Z
89,Holy Blindfold,Chris Brown,1f6D8lQmjEHSwhGXcTnZc9,Holy Blindfold,170400,False,81,2025-06-30T00:54:28Z
90,"Skoal, Chevy, and Browning",Morgan Wallen,6DkEF9xEX09byLdJgSGGK2,I’m The Problem,222479,False,59,2025-06-30T00:54:28Z
91,"Hip-Hop (feat. BigXthaPlug, Jay Jones)","Lil Wayne, BigXthaPlug, Jay Jones",0t5LNjml8LTuAPiEfD7zFN,Tha Carter VI,241335,True,80,2025-06-30T00:54:28Z
92,Por Esos Ojos,Fuerza Regida,5jHozZMWbrExAFni95mvvH,Por Esos Ojos,188064,True,85,2025-06-30T00:54:28Z
93,Sparks,Coldplay,7D0RhFcb3CrfPuTJ0obrod,Parachutes,227093,False,92,2025-06-30T00:54:28Z
94,If You Were Mine,Morgan Wallen,6xaFztGvBg7CV3X06WZdoH,I’m The Problem,167234,False,59,2025-06-30T00:54:28Z
95,Fame is a Gun,Addison Rae,1c2AFg2WpURtpsOTMr6ZBX,Fame is a Gun,183237,False,83,2025-06-30T00:54:28Z
96,Better Me For You (Brown Eyes),Max McNown,4Iu73sdCNxZXZUIyClMoPZ,Night Diving,194120,False,84,2025-06-30T00:54:28Z
97,Single Again,Josh Ross,2fKAG7MnnFDrQERDAzSztc,Single Again,179050,False,64,2025-06-30T00:54:28Z
98,Gnarly,KATSEYE,1j15Ar0qGDzIR0v3CQv3JL,Gnarly,137316,True,92,2025-06-30T00:54:28Z
99,cliché,mgk,3aD33slymVwdEcdbKUBnDu,cliché,176242,False,86,2025-06-30T00:54:28Z
100,Falling Apart,Morgan Wallen,3NyRm6qmJopTZzehwLeXYN,I’m The Problem,198919,False,60,2025-06-30T00:54:28Z
